Type,BodyPart,Equipment,Level,Title
4,2,9,2,2717
4,0,8,2,1388
2,8,11,0,462
4,3,1,2,2086
4,5,1,2,82
4,13,2,2,1020
4,0,2,2,2459
4,5,2,0,2549
2,5,11,0,1203
4,14,9,2,2367
4,13,8,0,1721
4,0,2,2,591
4,0,2,2,1279
5,8,2,0,246
4,11,3,2,67
4,5,3,2,2290
4,14,1,2,2594
4,0,2,2,1160
4,11,1,2,2779
4,0,11,2,1572
4,13,2,2,2813
4,13,2,2,1472
4,5,4,2,1667
4,3,9,2,2423
4,5,2,0,2898
4,5,9,2,83
4,13,2,2,1946
4,0,3,2,2596
5,1,7,2,1637
4,0,6,2,955
4,5,2,2,199
4,13,2,2,1575
4,14,7,2,1696
4,0,3,2,2766
4,14,4,2,727
4,9,2,2,431
4,14,2,2,2315
4,6,3,0,2285
4,0,8,2,638
2,14,2,2,2178
4,13,1,2,1709
2,14,10,0,288
4,13,2,2,1167
4,4,1,2,2506
4,14,4,2,734
4,5,1,0,344
4,14,4,2,2728
4,10,1,2,2829
4,0,2,2,1036
4,14,0,2,1693
5,16,2,2,2757
4,13,8,2,863
4,0,2,2,209
4,13,1,1,2427
4,13,9,2,210
4,14,0,2,162
2,13,2,0,2217
4,0,2,2,1698
2,13,12,0,238
4,13,1,2,381
4,5,1,0,334
4,11,4,2,1931
4,14,8,2,1742
4,0,2,2,579
4,9,11,2,1676
4,16,3,2,2697
4,13,11,2,1592
4,8,4,2,674
4,5,2,2,956
4,9,11,0,965
4,0,6,2,846
3,5,1,2,438
4,0,2,2,1080
4,0,2,2,575
4,13,1,2,984
4,5,2,2,2243
4,3,3,2,485
4,5,2,0,2772
4,13,2,2,1469
4,14,3,2,2600
4,11,1,0,2904
4,14,8,2,2414
4,13,2,2,1639
4,13,11,2,1611
4,3,11,0,2123
4,13,0,2,311
4,9,8,2,931
4,3,4,2,214
4,15,0,0,2848
4,8,8,2,2447
4,13,9,2,1806
4,16,4,2,2305
4,5,9,2,2487
4,14,11,2,391
4,5,2,2,1345
4,8,2,2,139
